anio,variable,N,missing,mean,sd,min,p25,median,p75,max
2010,num_programas,30,0,79.7,63.21,6.0,50.5,62.0,79.5,282.0
2010,presupuesto_ejercido_mdp,29,1,3235.71,4766.79,218.51,928.82,1660.07,3709.93,24749.4
2010,presupuesto_por_programa,29,1,59.52,86.78,0.77,12.62,27.61,64.29,391.22
2011,num_programas,31,0,91.9,51.81,18.0,56.5,81.0,99.0,244.0
2011,presupuesto_ejercido_mdp,31,0,2845.76,4213.18,335.72,598.39,1325.16,2377.19,17857.11
2011,presupuesto_por_programa,31,0,29.62,33.56,2.02,8.17,14.76,29.8,146.77
2012,num_programas,32,0,118.38,61.82,27.0,75.5,101.0,138.75,253.0
2012,presupuesto_ejercido_mdp,32,0,4279.76,6464.1,180.72,1030.68,1699.92,4422.53,32598.15
2012,presupuesto_por_programa,32,0,34.83,42.81,3.25,11.26,18.31,37.03,168.9
2013,num_programas,32,0,70.62,18.91,29.0,57.25,71.5,86.75,102.0
2013,presupuesto_ejercido_mdp,32,0,1267097785.27,3700446517.87,5305140.0,137144300.0,408995709.0,890827902.52,21212434252.32
2013,presupuesto_por_programa,32,0,15948020.49,39191243.49,120571.36,2138783.12,4784940.04,14720375.38,223288781.6
2014,num_programas,32,0,79.0,23.44,25.0,59.5,75.0,100.75,121.0
2014,presupuesto_ejercido_mdp,30,2,623012837.98,758523290.3,14500000.0,171442094.8,403612532.0,670041264.54,3095783022.0
2014,presupuesto_por_programa,30,2,8422988.63,10883281.56,136792.45,1950579.31,4441694.74,9969284.26,49974896.47
2016,num_programas,32,0,37.91,18.25,10.0,23.0,32.0,49.25,74.0
2016,presupuesto_ejercido_mdp,29,3,1227505462.37,2714380017.89,32326865.0,104856167.71,331210591.0,773600454.76,13265747200.54
2016,presupuesto_por_programa,29,3,25276099.14,45300465.81,1638377.62,4497171.81,7331942.83,19763914.31,195084517.65
2018,num_programas,32,0,45.12,23.71,19.0,27.75,39.5,52.75,118.0
2018,presupuesto_ejercido_mdp,29,3,1149408394.0,2664024221.79,44347.2,95603627.0,316540957.2,900083677.08,14199757048.0
2018,presupuesto_por_programa,29,3,21946136.48,40977655.12,727.0,2693664.47,9201809.51,27192692.76,211936672.36
2021,num_programas,32,0,32.44,18.34,9.0,21.0,28.0,40.0,84.0
2021,presupuesto_ejercido_mdp,31,1,1597116152.58,3017952282.77,11078242.0,230814856.79,608508951.37,1141914990.36,12342933711.15
2021,presupuesto_por_programa,31,1,41213118.58,58854654.62,791303.0,6295392.61,20760663.38,40023442.27,287044970.03
